mouseid,SEX,PGM,PCTT10,TOTDIST,TOTREAR,AMBEPIS,AVGVELO,PCTREST,ACTFACT,ANXFACT,1.52.903,1.58.218,1.63.544,1.68.754,1.73.853,1.78.895,1.84.13,1.142.911,1.152.072,1.157.107,1.162.154,1.172.293,1.189.194,1.194.471,2.6.99,2.14.912,2.30.4,2.46.567,2.65.484,2.70.714,2.75.803,2.80.917,2.97.379,2.115.443,2.120.543,2.125.79,2.131.164,2.136.176,2.147.68,2.153.094,2.163.612,2.168.681,2.178.315,3.5.399,3.15.676,3.23.589,3.30.366,3.58.232,3.63.295,3.116.457,3.130.112,3.144.638,4.28.546,4.64.271,4.84.116,4.90.848,4.95.976,4.101.273,4.106.91,4.114.381,4.119.404,4.146.705,4.154.007,5.3.217,5.8.292,5.13.572,5.34.496,5.54.302,5.59.398,5.70.507,5.76.181,5.114.905,5.129.613,6.8.907,6.30.799,6.43.778,6.48.9,6.57.082,6.66.518,6.71.532,6.76.679,6.81.864,6.92.155,6.97.389,6.102.455,6.113.036,6.118.461,6.130.177,6.137.911,7.4.843,7.10.546,7.16.001,7.32.784,7.57.878,7.63.356,7.95.734,7.113.114,7.120.494,7.125.526,8.3.089,8.9.532,8.15.231,8.27.939,8.42.542,8.52.684,8.57.724,8.63.043,8.68.129,8.73.959,8.84.334,8.89.447,8.99.742,8.106.003,8.120.925,9.19.367,9.35.157,9.75.208,9.85.508,9.97.633,9.103.546,9.115.09,9.120.248,10.6.177,10.27.548,10.33.479,10.50.215,10.57.805,10.66.995,10.72.796,10.80.703,10.86.122,10.91.185,10.96.34,10.101.669,10.109.059,10.126.634,11.8.346,11.24.381,11.30.054,11.35.159,11.45.533,11.68.383,11.73.562,11.78.864,11.84.334,11.110.832,11.115.986,11.121.485,12.8.054,12.14.003,12.20.058,12.25.18,12.34.51,12.44.175,12.50.945,12.62.739,12.67.901,12.73.9,12.84.749,12.90.714,12.95.793,12.101.558,12.113.087,13.6.094,13.12.009,13.17.193,13.22.251,13.35.31,13.40.462,13.51.598,13.56.939,13.67.446,13.89.444,13.94.513,13.99.543,14.10.723,14.75.192,14.92.114,14.97.414,14.102.467,14.108.333,15.57.352,15.78.151,15.89.891,15.101.89,16.17.188,16.45.834,16.51.101,16.56.11,16.61.205,16.71.874,16.82.521,16.87.987,16.93.262,16.98.377,17.9.103,17.14.146,17.27.372,17.32.527,17.39.267,17.45.986,17.51.159,17.56.801,17.71.942,18.11.683,18.16.784,18.21.882,18.28.434,18.51.821,18.70.651,18.77.741,18.85.977,19.3.505,19.49.322,X.45.475,X.61.66,X.85.251,X.100.299,X.106.858,X.125.593,X.151.946
,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,19,19,X,X,X,X,X,X,X
,,,,,,,,,,,26.992,28.855,32.3066,34.1459,38.0074,40.4401,42.76,62.4423,65.0121,67.972,70.0189,79.542,94.5943,98.2525,3.832,10.9211,21.715,27.586,38.6075,42.0137,44.7863,48.9503,52.402,58.213,60.368,61.759,63.345,67.43,73.1866,75.989,84.3392,88.993,100.2332,1.961,3.9527,9.2513,14.268,28.3177,29.967,50.166,58.052,68.4804,11.7826,34.6057,40.3178,43.158,45.518,47.2114,50.6409,53.0958,56.8018,78.872,94.50388,1.9195,3.4298,6.262,19.141,30.8288,31.868,38.3196,41.8183,56.879,70.663,4.382,12.5409,21.4376,23.8175,27.818,30.5219,32.142,33.047,35.8058,40.837,44.8537,47.502,52.7003,55.8579,63.3737,67.4691,6.2405,9.456,15.8351,29.292,39.8888,43.874,57.207,69.0117,76.3162,82.9486,1.918,4.1605,7.7978,16.5628,23.931,29.1267,30.819,32.299,33.879,35.5445,41.536,43.96,50.0722,53.4645,70.5834,7.3116,19.9886,41.9525,45.88,51.297,55.6888,68.2752,71.4619,2.061,14.7812,18.6968,24.872,29.2443,34.886,37.3552,39.722,42.829,46.1489,49.8671,53.3373,57.3072,73.8424,5.0019,14.9407,18.155,21.3146,27.4617,42.0349,45.6649,46.742,51.341,75.228,81.1435,87.8814,3.8831,6.935,9.176,12.997,18.057,21.776,24.1372,28.3148,30.2183,35.514,43.8627,46.7325,51.2247,57.487,63.485,3.2792,5.2807,6.047,9.2721,14.4359,20.2482,27.3866,30.7864,35.97,47.746,51.5058,54.935,7.08,43.5356,50.895,55.4688,57.203,60.0034,23.8558,36.9225,44.9557,56.9014,10.7912,30.4441,31.9582,33.7225,36.0638,40.4429,46.8274,49.581,53.7857,57.534,7.471,8.948,15.0248,17.982,19.5639,23.986,27.5528,30.3668,44.8796,5.84,10.0993,11.956,16.285,28.091,44.1898,52.2066,57.7169,3.4493,44.8427,29.3118,35.9585,41.3027,47.9198,49.472,57.2592,74.2919
138422,0,0,35.35,3818.8,57,138,43.16,54.47,-0.01,1.917,H,H,H,H,-,H,C,C,-,B,H,H,B,B,H,H,H,H,H,-,H,-,-,H,H,-,H,-,H,H,H,C,C,-,H,C,H,H,H,H,-,H,B,-,C,H,H,H,H,H,C,C,C,H,C,C,C,-,H,H,H,-,H,-,H,H,H,H,H,H,H,H,-,H,H,H,H,H,-,-,H,H,H,B,B,H,H,H,-,H,H,H,H,C,C,C,C,C,C,C,C,C,-,C,C,C,C,C,C,C,C,C,C,C,B,B,-,B,B,B,B,B,B,B,B,B,H,H,H,H,H,C,C,C,C,H,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,-,H,H,H,-,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,-,H,H,B,B,B,B,B,H,H,-,H,H,H,C,C,C,H,H,H,-,H,H,H,-,H,H,B,B,B,-,B,B,B
138423,0,0,18.82,3741,67,115,37.48,48.83,0.18,0.048,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,C,C,H,B,B,B,B,B,B,-,-,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,-,B,B,B,B,B,H,H,H,H,-,H,H,H,-,B,C,C,C,C,C,C,H,H,H,-,H,B,B,B,B,B,B,B,B,B,B,H,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,B,B,B,B,B,B,H,H,H,B,B,B,B,H,H,H,C,H,H,H,H,H,H,H,B,B,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,B,H,H,H,-,H,H,H
138424,0,0,17.2,3569,108,117,33.49,53.63,0.11,-0.491,C,C,C,C,C,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,-,H,H,-,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,-,B,B,B,B,B,B,B,B,B,B,B,H,-,-,H,H,H,H,B,C,C,C,C,-,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,-,B,B,H,H,H,H,-,B,B,-,B,B,B,B,B,B,H,C,H,H,H,H,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,B,B,B,B,H,H,H,H,H,H,H,H,B,B,B,-,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,B,B,B,H,H,B,B,B,B,H,H,C,C,C,C,C,C,C,C,C,C,C,C,-,H,B,B,B,B,H,H,H,C,C,C,-,H,H,H,H,B,B,B,B,H,H,H,H,H
138425,0,0,19.93,3466.4,70,113,35.45,52.67,-0.12,-0.068,H,H,H,H,H,C,H,H,H,H,H,H,C,-,H,H,H,H,H,C,H,H,-,H,H,C,-,C,C,C,-,C,-,H,-,H,H,H,H,H,H,H,C,H,-,H,H,H,-,H,H,-,H,H,-,C,C,H,-,C,C,C,C,H,H,-,H,H,H,H,H,H,H,H,H,C,-,C,C,H,H,H,H,H,H,H,H,-,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,-,H,B,B,C,C,C,C,C,H,H,H,H,-,-,H,H,H,H,H,H,H,H,C,C,C,C,C,-,H,C,C,C,C,C,-,C,C,C,C,C,C,C,C,C,C,C,H,-,-,H,H,H,H,H,H,H,C,C,C,C,C,C,B,H,H,C,-,B,-,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,-,C,C,C,H,H,B,H,H,-,H,H,H,H
140942,0,0,20.38,5296.4,123,136,35.46,38.47,1.78,-0.291,B,B,B,B,B,B,B,H,H,H,H,-,-,B,H,H,H,H,H,-,B,B,-,-,B,B,B,B,B,B,B,B,B,C,C,C,C,H,H,B,B,H,C,C,C,C,C,C,C,C,C,H,-,B,B,H,H,H,H,C,-,C,H,H,H,-,H,H,H,H,H,H,-,H,-,H,H,C,C,H,H,-,C,C,C,C,C,C,C,H,H,H,H,H,-,H,H,-,-,H,B,B,B,B,B,B,H,H,H,-,B,B,H,H,H,H,H,C,C,C,C,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,B,B,B,H,H,H,H,H,H,H,H,C,C,C,H,C,C,H,C,C,C,B,-,B,B,B,B,H,-,C,C,C,C,B,H,H,H,C,H,H,H,H,B,-,B,B,B,B,H,B,B,-,B,B,H,H,H,H,H,H,C,C,C,-,-,H,H,B,B,B,B,-,B
140943,0,0,17.57,2689.8,91,91,37.29,56.25,-0.79,0.076,H,H,H,H,H,H,-,C,H,C,C,C,C,-,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,C,C,C,C,H,C,B,B,B,-,H,H,H,H,H,-,H,-,H,-,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,B,-,B,B,B,B,B,-,B,B,-,H,H,-,C,C,C,H,H,H,B,B,C,B,B,-,B,B,B,-,B,H,H,H,H,H,C,C,-,H,H,H,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,H,-,H,H,H,H,H,H,-,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,H,H,H,-,H,H,H,H,H,H,H,-,C,H,B,B,B,B,C,C,C,C,H,H,-,H,H,H,H,H,H,-,H,H,H,-,-,H,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,-,H,H,H,-
140944,0,0,30.27,4108.2,63,141,41.64,46.38,0.61,1.288,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,-,H,-,H,H,H,-,H,-,B,B,H,B,B,B,B,B,B,-,H,-,H,B,B,B,B,H,-,C,C,C,C,C,C,C,C,H,H,H,H,H,-,-,H,H,B,B,-,C,H,H,H,H,H,H,H,H,H,H,-,H,H,B,B,H,H,-,C,C,C,C,C,C,C,H,-,H,H,C,-,H,-,-,H,H,H,H,H,C,H,H,H,H,H,-,B,B,C,C,C,C,C,C,C,C,C,C,-,H,H,H,-,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,H,B,B,B,B,B,-,H,H,H,H,-,H,H,H,H,H,H,H,B,B,B,C,C,C,-,C,H,H,H,H,H,H,H,H,-,-,H,H,H,H,C,C,C,-,C,H,H,-,-,H,B,-,-,H,H,H,H
141427,0,0,28.97,3466.5,112,127,36.14,48.17,0.33,0.588,H,C,C,C,C,C,C,H,-,H,H,H,-,B,B,B,B,H,B,-,B,B,H,H,-,-,H,H,H,-,H,H,-,C,C,C,C,-,C,C,H,C,-,-,H,H,H,-,H,H,H,C,C,H,H,H,H,B,B,B,B,B,-,B,H,H,H,-,H,H,H,H,C,-,H,H,H,H,H,C,H,-,H,-,H,H,H,H,-,H,-,H,H,-,H,H,H,H,H,H,H,H,-,C,-,C,B,B,B,H,H,H,H,B,B,B,B,H,B,B,B,B,-,B,B,C,H,H,H,H,H,H,H,H,H,C,-,C,H,H,-,H,-,C,C,C,C,C,H,H,-,B,B,H,B,B,B,B,B,-,H,H,H,H,H,-,B,-,C,C,C,B,B,B,C,H,H,H,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,B,B,B,B,C,H,H,H,-,-,H,H
